text,label
"A group is attempting to rob tourists near hotel during day. They have knives and are threatening people, help immediately. Suspects are armed and the situation is critical, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt near hotel afternoon, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is minor, witnesses are present. Please respond now.",police
"Woman pushed and molested during a snatching attempt at tourist spot during day, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is smoke-filled, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop in remote area at night. Please send police asap, this is serious. Suspects are armed and the situation is trapped, witnesses are present. Please respond quickly.",police
"A group is attempting to rob tourists near hotel late morning. They have knives and are threatening people, help immediately.",police
"A suspicious van parked and people are arguing loudly on highway at night. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is spreading quickly, witnesses are present. Please respond immediately.",police
"There is a violent fight breaking out near hotel afternoon, several people attacked and someone is injured. Urgent police help required now.",police
"I was extorted by a vendor demanding money at at temple evening, he's aggressive and threatening me. Need help from police immediately. Suspects are armed and the situation is moderate, witnesses are present. Please respond quickly.",police
"A group is attempting to rob tourists in remote area evening. They have knives and are threatening people, help immediately. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"I was extorted by a vendor demanding money at at tourist spot early morning, he's aggressive and threatening me. Need help from police immediately.",police
"A group is attempting to rob tourists at temple during day. They have knives and are threatening people, help immediately.",police
"Pickpocketing incident at in market late morning, my wallet stolen and there's a confrontation. Need police fast, please.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding early morning. Emergency, call police now.",police
"I was extorted by a vendor demanding money at in market early morning, he's aggressive and threatening me. Need help from police immediately.",police
"A suspicious van parked and people are arguing loudly near station early morning. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is conscious but injured, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones at tourist spot early morning. Please send police quickly, they are getting bold.",police
"Woman pushed and molested during a snatching attempt on highway during day, suspects ran into the crowd. Need police and witnesses asap.",police
"There is a violent fight breaking out on highway evening, several people attacked and someone is injured. Urgent police help required now. Suspects are armed and the situation is smoke-filled, witnesses are present. Please respond immediately.",police
"A group is attempting to rob tourists at tourist spot during day. They have knives and are threatening people, help immediately. Suspects are armed and the situation is conscious but injured, witnesses are present. Please respond urgent.",police
"A suspicious van parked and people are arguing loudly in market afternoon. They threatened us with a weapon, please call police immediate response.",police
"Someone just snatched my bag near station during day. It's urgent, the thief is running towards the station. Please send police now.",police
"Suspicious persons trying to kidnap someone by the bus stop in remote area during day. Please send police asap, this is serious. Suspects are armed and the situation is moderate, witnesses are present. Please respond now.",police
"Suspicious persons trying to kidnap someone by the bus stop at temple evening. Please send police asap, this is serious.",police
"Suspicious persons trying to kidnap someone by the bus stop in remote area during day. Please send police asap, this is serious. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond immediately.",police
"Pickpocketing incident at at temple afternoon, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond quickly.",police
"Suspicious persons trying to kidnap someone by the bus stop at tourist spot at night. Please send police asap, this is serious.",police
"A group is attempting to rob tourists near station late morning. They have knives and are threatening people, help immediately.",police
"Pickpocketing incident at near station late morning, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"There is a violent fight breaking out at tourist spot afternoon, several people attacked and someone is injured. Urgent police help required now.",police
"There is a violent fight breaking out near station during day, several people attacked and someone is injured. Urgent police help required now.",police
"Two men following tourists and attempting to snatch phones near hotel evening. Please send police quickly, they are getting bold. Suspects are armed and the situation is moderate, witnesses are present. Please respond immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding evening. Emergency, call police now.",police
"Someone just snatched my bag at tourist spot at night. It's urgent, the thief is running towards the station. Please send police now. Suspects are armed and the situation is stable but bleeding, witnesses are present. Please respond urgent.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding evening. Emergency, call police now. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond urgent.",police
"There is a violent fight breaking out at tourist spot at night, several people attacked and someone is injured. Urgent police help required now. Suspects are armed and the situation is conscious but injured, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones in remote area during day. Please send police quickly, they are getting bold.",police
"A group is attempting to rob tourists near hotel late morning. They have knives and are threatening people, help immediately.",police
"A group is attempting to rob tourists at tourist spot evening. They have knives and are threatening people, help immediately. Suspects are armed and the situation is smoke-filled, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop in market evening. Please send police asap, this is serious.",police
"Woman pushed and molested during a snatching attempt near hotel at night, suspects ran into the crowd. Need police and witnesses asap.",police
"A group is attempting to rob tourists in remote area evening. They have knives and are threatening people, help immediately. Suspects are armed and the situation is trapped, witnesses are present. Please respond urgent.",police
"Someone just snatched my bag at tourist spot late morning. It's urgent, the thief is running towards the station. Please send police now. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones on highway late morning. Please send police quickly, they are getting bold.",police
"Two men following tourists and attempting to snatch phones at tourist spot evening. Please send police quickly, they are getting bold.",police
"A suspicious van parked and people are arguing loudly near station afternoon. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is stable but bleeding, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt in remote area afternoon, suspects ran into the crowd. Need police and witnesses asap.",police
"A group is attempting to rob tourists in remote area evening. They have knives and are threatening people, help immediately. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond immediately.",police
"There is a violent fight breaking out near hotel afternoon, several people attacked and someone is injured. Urgent police help required now. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond immediately.",police
"There is a violent fight breaking out near station afternoon, several people attacked and someone is injured. Urgent police help required now. Suspects are armed and the situation is smoke-filled, witnesses are present. Please respond quickly.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding late morning. Emergency, call police now.",police
"Two men following tourists and attempting to snatch phones on highway at night. Please send police quickly, they are getting bold.",police
"A suspicious van parked and people are arguing loudly near hotel at night. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is critical, witnesses are present. Please respond quickly.",police
"A group is attempting to rob tourists at tourist spot early morning. They have knives and are threatening people, help immediately. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop at temple during day. Please send police asap, this is serious.",police
"Woman pushed and molested during a snatching attempt on highway during day, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt at tourist spot early morning, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop at temple late morning. Please send police asap, this is serious. Suspects are armed and the situation is minor, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop near hotel at night. Please send police asap, this is serious.",police
"Suspicious persons trying to kidnap someone by the bus stop at tourist spot during day. Please send police asap, this is serious.",police
"Woman pushed and molested during a snatching attempt near hotel at night, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"A suspicious van parked and people are arguing loudly at temple evening. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"Someone just snatched my bag on highway evening. It's urgent, the thief is running towards the river. Please send police now.",police
"I was extorted by a vendor demanding money at in remote area afternoon, he's aggressive and threatening me. Need help from police immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding evening. Emergency, call police now. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"I was extorted by a vendor demanding money at in remote area late morning, he's aggressive and threatening me. Need help from police immediately. Suspects are armed and the situation is critical, witnesses are present. Please respond immediately.",police
"A group is attempting to rob tourists in market at night. They have knives and are threatening people, help immediately. Suspects are armed and the situation is critical, witnesses are present. Please respond immediately.",police
"I was extorted by a vendor demanding money at on highway evening, he's aggressive and threatening me. Need help from police immediately.",police
"There is a violent fight breaking out on highway early morning, several people attacked and someone is injured. Urgent police help required now. Suspects are armed and the situation is life-threatening, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt on highway at night, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is life-threatening, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop near hotel at night. Please send police asap, this is serious. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"There is a violent fight breaking out at temple afternoon, several people attacked and someone is injured. Urgent police help required now.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding at night. Emergency, call police now. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt near station during day, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is conscious but injured, witnesses are present. Please respond immediately.",police
"I was extorted by a vendor demanding money at at temple early morning, he's aggressive and threatening me. Need help from police immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop at temple early morning. Please send police asap, this is serious. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt at tourist spot evening, suspects ran into the crowd. Need police and witnesses asap.",police
"Pickpocketing incident at at temple afternoon, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is trapped, witnesses are present. Please respond quickly.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding afternoon. Emergency, call police now. Suspects are armed and the situation is conscious but injured, witnesses are present. Please respond immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding late morning. Emergency, call police now.",police
"Suspicious persons trying to kidnap someone by the bus stop at temple during day. Please send police asap, this is serious. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding early morning. Emergency, call police now. Suspects are armed and the situation is critical, witnesses are present. Please respond urgent.",police
"A suspicious van parked and people are arguing loudly in remote area at night. They threatened us with a weapon, please call police immediate response.",police
"A suspicious van parked and people are arguing loudly at tourist spot during day. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is trapped, witnesses are present. Please respond now.",police
"A group is attempting to rob tourists in remote area late morning. They have knives and are threatening people, help immediately.",police
"Woman pushed and molested during a snatching attempt in market at night, suspects ran into the crowd. Need police and witnesses asap.",police
"A group is attempting to rob tourists in market evening. They have knives and are threatening people, help immediately. Suspects are armed and the situation is conscious but injured, witnesses are present. Please respond immediately.",police
"I was extorted by a vendor demanding money at in remote area late morning, he's aggressive and threatening me. Need help from police immediately. Suspects are armed and the situation is smoke-filled, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones at tourist spot during day. Please send police quickly, they are getting bold. Suspects are armed and the situation is spreading quickly, witnesses are present. Please respond quickly.",police
"Woman pushed and molested during a snatching attempt in market during day, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is life-threatening, witnesses are present. Please respond immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding early morning. Emergency, call police now. Suspects are armed and the situation is smoke-filled, witnesses are present. Please respond urgent.",police
"Pickpocketing incident at near station evening, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"There is a violent fight breaking out near hotel evening, several people attacked and someone is injured. Urgent police help required now.",police
"A suspicious van parked and people are arguing loudly near station at night. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop in remote area late morning. Please send police asap, this is serious.",police
"Woman pushed and molested during a snatching attempt in remote area afternoon, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is spreading quickly, witnesses are present. Please respond immediately.",police
"Someone just snatched my bag in market early morning. It's urgent, the thief is running towards the river. Please send police now.",police
"Pickpocketing incident at in remote area late morning, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is multiple casualties, witnesses are present. Please respond immediately.",police
"A suspicious van parked and people are arguing loudly at temple during day. They threatened us with a weapon, please call police immediate response.",police
"Pickpocketing incident at in remote area late morning, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is minor, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones on highway early morning. Please send police quickly, they are getting bold.",police
"There is a violent fight breaking out on highway at night, several people attacked and someone is injured. Urgent police help required now.",police
"Someone just snatched my bag on highway evening. It's urgent, the thief is running towards the river. Please send police now.",police
"Someone just snatched my bag in remote area at night. It's urgent, the thief is running into the crowd. Please send police now.",police
"A suspicious van parked and people are arguing loudly at tourist spot evening. They threatened us with a weapon, please call police immediate response.",police
"A suspicious van parked and people are arguing loudly at tourist spot late morning. They threatened us with a weapon, please call police immediate response.",police
"Pickpocketing incident at at temple afternoon, my wallet stolen and there's a confrontation. Need police fast, please.",police
"Pickpocketing incident at on highway at night, my wallet stolen and there's a confrontation. Need police fast, please.",police
"A suspicious van parked and people are arguing loudly near station late morning. They threatened us with a weapon, please call police immediate response. Suspects are armed and the situation is critical, witnesses are present. Please respond immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding during day. Emergency, call police now.",police
"A group is attempting to rob tourists in remote area afternoon. They have knives and are threatening people, help immediately. Suspects are armed and the situation is stable but bleeding, witnesses are present. Please respond immediately.",police
"A group is attempting to rob tourists at temple during day. They have knives and are threatening people, help immediately.",police
"Two men following tourists and attempting to snatch phones near hotel late morning. Please send police quickly, they are getting bold.",police
"Two men following tourists and attempting to snatch phones near station evening. Please send police quickly, they are getting bold.",police
"Suspicious persons trying to kidnap someone by the bus stop at temple afternoon. Please send police asap, this is serious. Suspects are armed and the situation is spreading quickly, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop on highway evening. Please send police asap, this is serious.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding late morning. Emergency, call police now.",police
"I was extorted by a vendor demanding money at near hotel late morning, he's aggressive and threatening me. Need help from police immediately. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop on highway early morning. Please send police asap, this is serious. Suspects are armed and the situation is life-threatening, witnesses are present. Please respond immediately.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding evening. Emergency, call police now. Suspects are armed and the situation is trapped, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones near station during day. Please send police quickly, they are getting bold.",police
"A group is attempting to rob tourists on highway evening. They have knives and are threatening people, help immediately. Suspects are armed and the situation is critical, witnesses are present. Please respond immediately.",police
"Two men following tourists and attempting to snatch phones at temple afternoon. Please send police quickly, they are getting bold.",police
"Woman pushed and molested during a snatching attempt on highway early morning, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is spreading quickly, witnesses are present. Please respond now.",police
"Man threatening with a weapon near the hotel, people are scared and someone is bleeding at night. Emergency, call police now.",police
"Pickpocketing incident at at tourist spot evening, my wallet stolen and there's a confrontation. Need police fast, please. Suspects are armed and the situation is spreading quickly, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt at temple early morning, suspects ran into the crowd. Need police and witnesses asap. Suspects are armed and the situation is critical, witnesses are present. Please respond immediately.",police
"Suspicious persons trying to kidnap someone by the bus stop near hotel during day. Please send police asap, this is serious. Suspects are armed and the situation is severe, witnesses are present. Please respond immediately.",police
"Woman pushed and molested during a snatching attempt on highway during day, suspects ran into the crowd. Need police and witnesses asap.",police
"Two men following tourists and attempting to snatch phones near hotel at night. Please send police quickly, they are getting bold. Suspects are armed and the situation is life-threatening, witnesses are present. Please respond immediately.",police
"Pickpocketing incident at near hotel early morning, my wallet stolen and there's a confrontation. Need police fast, please.",police
"There is a violent fight breaking out in market at night, several people attacked and someone is injured. Urgent police help required now.",police
"Pickpocketing incident at at tourist spot afternoon, my wallet stolen and there's a confrontation. Need police fast, please.",police
