text,label
"English dataset missing, regenerate if needed.",info
मेरे बैग की चोरी हो गई दूरदराज़ इलाके में रात में। चोर भाग रहा है और स्थिति फंसे हुए हैं है। कृपया पुलिस को आपातकाल भेजें।,police
कुछ लोग पर्यटकों को लूट रहे हैं दूरदराज़ इलाके में शाम के समय। वे हथियार के साथ धमका रहे हैं। कृपया पुलिस तुरंत भेजें।,police
यहाँ झगड़ा हो रहा है स्टेशन के पास दोपहर में और किसी को चोट लगी है। कृपया पुलिस मदद करें जल्दी।,police
यहाँ झगड़ा हो रहा है मंदिर के पास सुबह के समय और किसी को चोट लगी है। कृपया पुलिस मदद करें कृपया।,police
कुछ लोग पर्यटकों को लूट रहे हैं होटल के पास रात में। वे हथियार के साथ धमका रहे हैं। कृपया पुलिस तुरंत भेजें।,police
कुछ लोग पर्यटकों को लूट रहे हैं मंदिर के पास दोपहर में। वे हथियार के साथ धमका रहे हैं। कृपया पुलिस तुरंत भेजें।,police
यहाँ झगड़ा हो रहा है मंदिर के पास सुबह के समय और किसी को चोट लगी है। कृपया पुलिस मदद करें फ़ौरन।,police
यहाँ झगड़ा हो रहा है हाईवे पर रात में और किसी को चोट लगी है। कृपया पुलिस मदद करें फ़ौरन।,police
यहाँ झगड़ा हो रहा है बाज़ार में सुबह के समय और किसी को चोट लगी है। कृपया पुलिस मदद करें बहुत जरूरी।,police
यहाँ झगड़ा हो रहा है मंदिर के पास रात में और किसी को चोट लगी है। कृपया पुलिस मदद करें बहुत जरूरी।,police
यहाँ झगड़ा हो रहा है पर्यटक स्थल पर दोपहर में और किसी को चोट लगी है। कृपया पुलिस मदद करें फ़ौरन।,police
मेरे बैग की चोरी हो गई पर्यटक स्थल पर सुबह के समय। चोर भाग रहा है और स्थिति हल्की चोट है। कृपया पुलिस को जल्दी भेजें।,police
मेरे बैग की चोरी हो गई होटल के पास रात में। चोर भाग रहा है और स्थिति फंसे हुए हैं है। कृपया पुलिस को फ़ौरन भेजें।,police
कुछ लोग पर्यटकों को लूट रहे हैं होटल के पास सुबह जल्दी। वे हथियार के साथ धमका रहे हैं। कृपया पुलिस तुरंत भेजें।,police
कुछ लोग पर्यटकों को लूट रहे हैं मंदिर के पास रात में। वे हथियार के साथ धमका रहे हैं। कृपया पुलिस तुरंत भेजें।,police
मेरे बैग की चोरी हो गई बाज़ार में सुबह के समय। चोर भाग रहा है और स्थिति जानलेवा स्थिति है। कृपया पुलिस को बहुत जरूरी भेजें।,police
यहाँ झगड़ा हो रहा है पर्यटक स्थल पर दोपहर में और किसी को चोट लगी है। कृपया पुलिस मदद करें आपातकाल।,police
